634       1985    694    58.8    21.5     8.5    16.9     5.9     3.0     2.3    3.26
634       1990    798    52.3    20.7     5.8    23.4     6.4     3.7     2.9    3.93
634       1995    912    52.6    15.5     4.3    27.9     7.6     4.0     3.1    4.27
634       2000    1036   47.9    17.3     4.8    30.4     8.3     4.4     3.5    4.68
644       1995     .     80.1     7.8     1.5     5.5     3.4     1.0     0.8    1.15
648       1960    146      .       .       .      3.3     0.9     0.4     0.3      .
648       1965    166      .       .       .      3.1     0.8     0.3     0.2      .
648       1970    192      .       .       .      3.1     0.8     0.2     0.2      .
648       1975    221    94.9     1.3     0.5     3.6     1.0     0.2     0.2    0.50
648       1980    255    92.5     3.2     0.9     4.2     0.9     0.2     0.1    0.63
648       1985    291    90.0     4.6     1.1     5.3     1.0     0.1     0.1    0.79
648       1990    364    86.1     7.0     1.5     6.7     1.0     0.1     0.1    1.02
648       1995    449    79.7    10.8     2.3     9.4     1.5     0.1     0.1    1.43
648       2000    527    71.6    17.4     3.7    10.6     1.7     0.4     0.3    1.86
652       1960    2406   86.2    12.1     2.8     1.1     0.3     0.7     0.5    0.69
652       1965    2768   82.7    14.7     3.4     2.0     0.4     0.6     0.5    0.87
652       1970    3042   77.7     5.8     1.3    16.1     3.3     0.4     0.3    2.03
652       1975    3474   74.7     9.6     2.2    15.2     2.6     0.5     0.4    2.07
652       1980    3816   66.1    18.7     4.3    14.6     2.2     0.6     0.5    2.35
652       1985    4561   60.2    20.1     4.7    19.0     2.5     0.8     0.6    2.87
652       1990    5347   54.0    22.8     5.3    22.4     2.6     0.9     0.7    3.34
652       1995    6250   48.8    24.8     5.8    25.4     3.0     1.0     0.8    3.75
652       2000    7343   46.2    25.1     5.8    27.6     3.3     1.1     0.9    4.01
664       1960    3215   77.3    20.4     6.1     2.0     0.4     0.3     0.2    1.20
664       1965    3556   77.6    20.3     6.7     1.8     0.3     0.3     0.2    1.19
664       1970    3897   75.9    20.5     8.6     3.1     0.3     0.5     0.4    1.45
664       1975    4437   71.9    24.4     7.0     3.1     0.3     0.6     0.5    1.54
664       1980    5202   58.6    32.2     7.6     8.6     0.8     0.6     0.5    2.46
664       1985    6187   55.6    37.8     8.2     5.9     0.5     0.7     0.5    2.38
664       1990    7406   45.4    45.5     9.5     8.3     0.8     0.8     0.6    2.98
